        Node       x [um]       y [um]       z [um]       u [um]       v [um]       w [um]
         335        0.920        1.908       -0.026  -0.04284700   0.01245160   0.02329318
         336        0.920        2.012       -0.026  -0.04474195   0.01121540   0.02334781
         337        0.920        2.116       -0.026  -0.04539211   0.01017662   0.02329655
         338        0.920        2.220       -0.026  -0.04479918   0.00891093   0.02311983
         339        0.920        2.324       -0.026  -0.04311329   0.00707496   0.02281893
         340        0.920        2.428       -0.026  -0.04061129   0.00451929   0.02241636
         341        0.920        2.532       -0.026  -0.03764122   0.00133148   0.02193870
         342        0.920        2.636       -0.026  -0.03452929  -0.00224081   0.02141565
         343        0.920        2.740       -0.026  -0.03152732  -0.00590556   0.02087827
         344        0.920        2.844       -0.026  -0.02879981  -0.00941164   0.02035765
         345        0.920        2.948       -0.026  -0.02643747  -0.01257546   0.01988420
         346        0.920        3.052       -0.026  -0.02448262  -0.01527412   0.01948346
         347        0.920        3.156       -0.026  -0.02295571  -0.01742850   0.01917731
         348        0.920        3.260       -0.026  -0.02186320  -0.01899287   0.01898159
         349        0.920        3.364       -0.026  -0.02120626  -0.01993770   0.01891591
         350        0.920        3.468       -0.026  -0.02107780  -0.01972643   0.01905367
         351        1.024       -0.068       -0.026   0.01491834   0.06876564   0.02203949
         352        1.024        0.036       -0.026   0.01480321   0.06852485   0.02193060
         353        1.024        0.140       -0.026   0.01421691   0.06762421   0.02191393
         354        1.024        0.244       -0.026   0.01334640   0.06633224   0.02196810
         355        1.024        0.348       -0.026   0.01217664   0.06463552   0.02208358
         356        1.024        0.452       -0.026   0.01069448   0.06253058   0.02225181
         357        1.024        0.556       -0.026   0.00888195   0.06001429   0.02246306
         358        1.024        0.660       -0.026   0.00672000   0.05708499   0.02270538
         359        1.024        0.764       -0.026   0.00417434   0.05374192   0.02296527
         360        1.024        0.868       -0.026   0.00120579   0.04999576   0.02322946
         361        1.024        0.972       -0.026  -0.00223383   0.04586096   0.02348377
         362        1.024        1.076       -0.026  -0.00619089   0.04137569   0.02371432
         363        1.024        1.180       -0.026  -0.01069057   0.03660350   0.02391163
         364        1.024        1.284       -0.026  -0.01572028   0.03165395   0.02407209
         365        1.024        1.388       -0.026  -0.02119012   0.02670096   0.02420427
         366        1.024        1.492       -0.026  -0.02691547   0.02197929   0.02433075
         367        1.024        1.596       -0.026  -0.03261599   0.01777110   0.02448065
         368        1.024        1.700       -0.026  -0.03794905   0.01435641   0.02467673
         369        1.024        1.804       -0.026  -0.04257138   0.01192828   0.02490829
         370        1.024        1.908       -0.026  -0.04619615   0.01050474   0.02512060
         371        1.024        2.012       -0.026  -0.04860436   0.00986428   0.02522616
         372        1.024        2.116       -0.026  -0.04963877   0.00953645   0.02514657
         373        1.024        2.220       -0.026  -0.04925094   0.00890106   0.02484821
         374        1.024        2.324       -0.026  -0.04757573   0.00740686   0.02436147
         375        1.024        2.428       -0.026  -0.04495301   0.00485760   0.02374450
         376        1.024        2.532       -0.026  -0.04181708   0.00142902   0.02305390
         377        1.024        2.636       -0.026  -0.03855210  -0.00248779   0.02234087
         378        1.024        2.740       -0.026  -0.03543587  -0.00648887   0.02164162
         379        1.024        2.844       -0.026  -0.03263377  -0.01026976   0.02098879
         380        1.024        2.948       -0.026  -0.03022618  -0.01363891   0.02041045
         381        1.024        3.052       -0.026  -0.02824819  -0.01648157   0.01993057
         382        1.024        3.156       -0.026  -0.02671362  -0.01873518   0.01956681
         383        1.024        3.260       -0.026  -0.02562532  -0.02036473   0.01933420
         384        1.024        3.364       -0.026  -0.02498215  -0.02134872   0.01924890
         385        1.024        3.468       -0.026  -0.02487282  -0.02115386   0.01939771
         386        1.128       -0.068       -0.026   0.01648699   0.06866937   0.02278409
         387        1.128        0.036       -0.026   0.01636190   0.06840252   0.02266663
         388        1.128        0.140       -0.026   0.01576386   0.06749334   0.02266230
         389        1.128        0.244       -0.026   0.01488643   0.06619457   0.02274449
         390        1.128        0.348       -0.026   0.01371367   0.06449060   0.02290298
         391        1.128        0.452       -0.026   0.01223234   0.06237250   0.02312691
         392        1.128        0.556       -0.026   0.01042258   0.05983249   0.02340540
         393        1.128        0.660       -0.026   0.00826413   0.05686185   0.02372405
